zip_paths,means,stds
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_106.zip,85.74,13.04895212
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_187.zip,89.12,25.5826172
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_155.zip,90.24,17.23405133
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_168.zip,93.83,20.8816071
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_184.zip,94.27,26.48722009
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_107.zip,94.35,20.03601555
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_108.zip,97.11,16.76088219
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_186.zip,97.97,20.10349736
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_156.zip,98.85,21.00763449
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_176.zip,99.96,17.42163986
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_141.zip,102.87,23.64281983
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_121.zip,103.17,21.12878022
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_127.zip,109.62,15.62229694
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_182.zip,111.06,22.19783409
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_151.zip,111.95,20.6761342
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_139.zip,114.92,21.43615373
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_146.zip,115.39,19.68483752
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_113.zip,119.11,19.29510065
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_193.zip,119.85,16.93324684
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_130.zip,120.06,12.92231646
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_162.zip,122.1,23.75187393
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_110.zip,124.83,14.41663952
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_150.zip,125.46,15.03895279
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_147.zip,127.9,12.7987531
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_144.zip,130.7,12.43772365
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_102.zip,134.73,11.58879204
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_177.zip,135.18,26.43474145
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_126.zip,135.75,19.04135584
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_166.zip,136.58,21.26940231
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_192.zip,139.55,16.2532825
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_189.zip,140.02,21.23508627
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_172.zip,141.21,25.64217446
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_161.zip,142.56,12.84509103
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_178.zip,144.82,21.69456479
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_140.zip,148.14,19.61602108
C:/Users/treharne/Documents/202324/CURRICULUM_DEVEL/BIOS103QS/11_CELL_BIOLOGY/DATA/hemo_153.zip,148.29,20.12400697
