SampleID,Location,DateTime,DayOfWeek,Temperature,Moisture,Viable counts
UTR_20230812,Utrecht,12/08/2023,Saturday,65.6,77.5,142
GRO_20230712,Groningen,12/07/2023,Wednesday,56.9,71,149
MAA_20231116,Maastricht,16/11/2023,Thursday,60.3,73.4,146
UTR_20230407,Utrecht,07/04/2023,Friday,72.8,74.5,127
GRO_20240319,Groningen,19/03/2024,Tuesday,53.9,69.7,154
MAA_20231011,Maastricht,11/10/2023,Wednesday,58.4,73.8,149
GRO_20230916,Groningen,16/09/2023,Saturday,57.6,72.6,151
GRO_20230902,Groningen,02/09/2023,Saturday,52.2,70.9,156
UTR_20230802,Utrecht,02/08/2023,Wednesday,72,76.3,132
UTR_20230406,Utrecht,06/04/2023,Thursday,69.6,74.4,134
GRO_20240305,Groningen,05/03/2024,Tuesday,53.6,70.2,154
ROT_20231206,Rotterdam,06/12/2023,Wednesday,54.3,64.1,148
MAA_20231129,Maastricht,29/11/2023,Wednesday,56.6,72.6,151
UTR_20240224,Utrecht,24/02/2024,Saturday,66.2,77.1,139
GRO_20231130,Groningen,30/11/2023,Thursday,54.1,71.8,154
ROT_20230811,Rotterdam,11/08/2023,Friday,55.6,60.6,143
MAA_20231218,Maastricht,18/12/2023,Monday,59.5,70.6,146
AMS_20231220,Amsterdam,20/12/2023,Wednesday,58.4,75.3,150
ROT_20240301,Rotterdam,01/03/2024,Friday,55.6,61.9,144
ROT_20231102,Rotterdam,02/11/2023,Thursday,51.3,63.6,152
AMS_20231005,Amsterdam,05/10/2023,Thursday,57.3,77.1,153
AMS_20231109,Amsterdam,09/11/2023,Thursday,52.7,76.9,161
AMS_20240214,Amsterdam,14/02/2024,Wednesday,58.9,76,151
ROT_20240111,Rotterdam,11/01/2024,Thursday,56.6,62.8,144
UTR_20230821,Utrecht,21/08/2023,Monday,73.4,77.9,130
GRO_20231231,Groningen,31/12/2023,Sunday,52.1,72.4,158
UTR_20230718,Utrecht,18/07/2023,Tuesday,71.1,73.9,130
UTR_20240228,Utrecht,28/02/2024,Wednesday,71.6,77.5,133
UTR_20230710,Utrecht,10/07/2023,Monday,67.3,73.1,136
ROT_20240117,Rotterdam,17/01/2024,Wednesday,55.2,63,145
MAA_20230914,Maastricht,14/09/2023,Thursday,58.6,70.6,147
AMS_20230928,Amsterdam,28/09/2023,Thursday,59.1,77.6,150
AMS_20231210,Amsterdam,10/12/2023,Sunday,58.2,79.8,154
ROT_20240305,Rotterdam,05/03/2024,Tuesday,56.7,61.7,142
ROT_20240223,Rotterdam,23/02/2024,Friday,59.6,62.9,139
ROT_20230602,Rotterdam,02/06/2023,Friday,61.7,62.2,136
GRO_20240320,Groningen,20/03/2024,Wednesday,54.5,70,152
GRO_20230721,Groningen,21/07/2023,Friday,52.7,68.3,154
AMS_20230605,Amsterdam,05/06/2023,Monday,58.3,74.8,150
ROT_20231127,Rotterdam,27/11/2023,Monday,57.6,60,140
UTR_20230401,Utrecht,01/04/2023,Saturday,69.3,75.7,134
UTR_20240120,Utrecht,20/01/2024,Saturday,66.3,77.2,140
