SampleID,EnvironmentType,GramPositiveCount,GramNegativeCount,TotalCount,ProportionGramPositive,ProportionGramNegative
S1,Plant,55,84,139,0.39568345323741005,0.60431654676259
S2,Water,107,71,178,0.601123595505618,0.398876404494382
S3,Plant,108,140,248,0.43548387096774194,0.5645161290322581
S4,Plant,135,128,263,0.5133079847908745,0.4866920152091255
S5,Soil,175,120,295,0.5932203389830508,0.4067796610169492
S6,Plant,95,112,207,0.45893719806763283,0.5410628019323671
S7,Plant,132,122,254,0.5196850393700787,0.48031496062992124
S8,Water,83,65,148,0.5608108108108109,0.4391891891891892
S9,Air,133,124,257,0.5175097276264592,0.48249027237354086
S10,Plant,109,105,214,0.5093457943925234,0.49065420560747663
S11,Air,64,78,142,0.4507042253521127,0.5492957746478874
S12,Water,110,65,175,0.6285714285714286,0.37142857142857144
S13,Plant,116,122,238,0.48739495798319327,0.5126050420168067
S14,Water,112,67,179,0.6256983240223464,0.3743016759776536
S15,Soil,92,79,171,0.5380116959064327,0.4619883040935672
S16,Water,144,121,265,0.5433962264150943,0.45660377358490567
S17,Plant,134,131,265,0.5056603773584906,0.49433962264150944
S18,Air,121,92,213,0.568075117370892,0.431924882629108
S19,Water,79,99,178,0.4438202247191011,0.5561797752808989
S20,Soil,88,71,159,0.5534591194968553,0.44654088050314467
S21,Plant,125,54,179,0.6983240223463687,0.3016759776536313
S22,Soil,151,46,197,0.766497461928934,0.233502538071066
S23,Air,131,116,247,0.5303643724696356,0.46963562753036436
S24,Water,95,120,215,0.4418604651162791,0.5581395348837209
S25,Air,105,78,183,0.5737704918032787,0.4262295081967213
S26,Plant,137,154,291,0.47079037800687284,0.5292096219931272
S27,Water,61,132,193,0.3160621761658031,0.6839378238341969
S28,Soil,58,130,188,0.30851063829787234,0.6914893617021277
S29,Soil,132,116,248,0.532258064516129,0.46774193548387094
S30,Soil,104,72,176,0.5909090909090909,0.4090909090909091
S31,Soil,72,95,167,0.4311377245508982,0.5688622754491018
S32,Water,95,96,191,0.4973821989528796,0.5026178010471204
S33,Air,90,22,112,0.8035714285714286,0.19642857142857142
S34,Air,115,118,233,0.49356223175965663,0.5064377682403434
S35,Plant,96,114,210,0.45714285714285713,0.5428571428571428
S36,Soil,113,179,292,0.386986301369863,0.613013698630137
S37,Air,148,96,244,0.6065573770491803,0.39344262295081966
S38,Plant,106,54,160,0.6625,0.3375
S39,Soil,97,149,246,0.3943089430894309,0.6056910569105691
S40,Air,85,128,213,0.39906103286384975,0.6009389671361502
S41,Soil,86,92,178,0.48314606741573035,0.5168539325842697
S42,Water,97,88,185,0.5243243243243243,0.4756756756756757
S43,Soil,131,113,244,0.5368852459016393,0.46311475409836067
S44,Air,124,84,208,0.5961538461538461,0.40384615384615385
S45,Water,56,101,157,0.35668789808917195,0.643312101910828
S46,Air,156,94,250,0.624,0.376
S47,Soil,84,100,184,0.45652173913043476,0.5434782608695652
S48,Soil,84,146,230,0.3652173913043478,0.6347826086956522
S49,Soil,95,99,194,0.4896907216494845,0.5103092783505154
S50,Plant,162,108,270,0.6,0.4
S51,Water,119,121,240,0.49583333333333335,0.5041666666666667
S52,Water,107,38,145,0.7379310344827587,0.2620689655172414
S53,Plant,83,116,199,0.41708542713567837,0.5829145728643216
S54,Plant,105,34,139,0.7553956834532374,0.2446043165467626
S55,Air,168,74,242,0.6942148760330579,0.30578512396694213
S56,Plant,126,153,279,0.45161290322580644,0.5483870967741935
S57,Water,87,122,209,0.41626794258373206,0.583732057416268
S58,Soil,90,67,157,0.5732484076433121,0.4267515923566879
S59,Soil,118,81,199,0.592964824120603,0.40703517587939697
S60,Air,129,119,248,0.5201612903225806,0.4798387096774194
S61,Plant,66,144,210,0.3142857142857143,0.6857142857142857
S62,Water,112,126,238,0.47058823529411764,0.5294117647058824
S63,Soil,122,91,213,0.5727699530516432,0.4272300469483568
S64,Air,138,40,178,0.7752808988764045,0.2247191011235955
S65,Plant,64,86,150,0.4266666666666667,0.5733333333333334
S66,Plant,169,86,255,0.6627450980392157,0.33725490196078434
S67,Plant,88,138,226,0.3893805309734513,0.6106194690265486
S68,Plant,87,83,170,0.5117647058823529,0.48823529411764705
S69,Water,85,70,155,0.5483870967741935,0.45161290322580644
S70,Plant,118,140,258,0.4573643410852713,0.5426356589147286
S71,Soil,72,74,146,0.4931506849315068,0.5068493150684932
S72,Air,152,137,289,0.5259515570934256,0.4740484429065744
