SampleID,Location,DateTime,DayOfWeek,Temperature,Moisture,Viable counts
UTR_20230812,Utrecht,2023-08-12,Saturday,65.6,77.5,142
GRO_20230712,Groningen,2023-07-12,Wednesday,56.9,71.0,149
MAA_20231116,Maastricht,2023-11-16,Thursday,60.3,73.4,146
UTR_20230407,Utrecht,2023-04-07,Friday,72.8,74.5,127
GRO_20240319,Groningen,2024-03-19,Tuesday,53.9,69.7,154
MAA_20231011,Maastricht,2023-10-11,Wednesday,58.4,73.8,149
GRO_20230916,Groningen,2023-09-16,Saturday,57.6,72.6,151
GRO_20230902,Groningen,2023-09-02,Saturday,52.2,70.9,156
UTR_20230802,Utrecht,2023-08-02,Wednesday,72.0,76.3,132
UTR_20230406,Utrecht,2023-04-06,Thursday,69.6,74.4,134
GRO_20240305,Groningen,2024-03-05,Tuesday,53.6,70.2,154
ROT_20231206,Rotterdam,2023-12-06,Wednesday,54.3,64.1,148
MAA_20231129,Maastricht,2023-11-29,Wednesday,56.6,72.6,151
UTR_20240224,Utrecht,2024-02-24,Saturday,66.2,77.1,139
GRO_20231130,Groningen,2023-11-30,Thursday,54.1,71.8,154
ROT_20230811,Rotterdam,2023-08-11,Friday,55.6,60.6,143
MAA_20231218,Maastricht,2023-12-18,Monday,59.5,70.6,146
AMS_20231220,Amsterdam,2023-12-20,Wednesday,58.4,75.3,150
ROT_20240301,Rotterdam,2024-03-01,Friday,55.6,61.9,144
ROT_20231102,Rotterdam,2023-11-02,Thursday,51.3,63.6,152
AMS_20231005,Amsterdam,2023-10-05,Thursday,57.3,77.1,153
AMS_20231109,Amsterdam,2023-11-09,Thursday,52.7,76.9,161
AMS_20240214,Amsterdam,2024-02-14,Wednesday,58.9,76.0,151
ROT_20240111,Rotterdam,2024-01-11,Thursday,56.6,62.8,144
UTR_20230821,Utrecht,2023-08-21,Monday,73.4,77.9,130
GRO_20231231,Groningen,2023-12-31,Sunday,52.1,72.4,158
UTR_20230718,Utrecht,2023-07-18,Tuesday,71.1,73.9,130
UTR_20240228,Utrecht,2024-02-28,Wednesday,71.6,77.5,133
UTR_20230710,Utrecht,2023-07-10,Monday,67.3,73.1,136
ROT_20240117,Rotterdam,2024-01-17,Wednesday,55.2,63.0,145
MAA_20230914,Maastricht,2023-09-14,Thursday,58.6,70.6,147
AMS_20230928,Amsterdam,2023-09-28,Thursday,59.1,77.6,150
AMS_20231210,Amsterdam,2023-12-10,Sunday,58.2,79.8,154
ROT_20240305,Rotterdam,2024-03-05,Tuesday,56.7,61.7,142
ROT_20240223,Rotterdam,2024-02-23,Friday,59.6,62.9,139
ROT_20230602,Rotterdam,2023-06-02,Friday,61.7,62.2,136
GRO_20240320,Groningen,2024-03-20,Wednesday,54.5,70.0,152
GRO_20230721,Groningen,2023-07-21,Friday,52.7,68.3,154
AMS_20230605,Amsterdam,2023-06-05,Monday,58.3,74.8,150
ROT_20231127,Rotterdam,2023-11-27,Monday,57.6,60.0,140
